GeneID	GeneSymbol	HL_17_R1	HL_17_R2	HL_18_R1_a	HL_18_R2_a	HL_18_R1_b	HL_18_R2_b	HL_30_R1	HL_30_R2	HL_33_R1	HL_33_R2	HL_34_R1	HL_34_R2	HL_38_R1	HL_38_R2	HL_39_R1	HL_39_R2
ENSG00000125319.10	C17orf53	69	57	143	154	84	97	91	77	124	120	141	164	24	27	27	26
ENSG00000125337.12	KIF25	30	25	129	129	18	13	28	27	96	69	162	156	42	46	35	42
ENSG00000125347.9	IRF1	2473	2228	4642	4875	1975	2282	8467	8080	4503	5068	5978	6408	4312	4715	2602	3943
ENSG00000125351.6	UPF3B	449	366	792	783	354	380	833	851	493	638	628	665	147	169	155	203
ENSG00000125352.4	RNF113A	730	690	1110	1186	719	839	1164	1095	970	1045	943	926	203	231	202	316
ENSG00000125354.18	6-Sep	5260	4435	10819	11172	3976	4761	14117	12978	7315	8256	3392	3732	794	925	1793	2718
ENSG00000125355.11	TMEM255A	64	51	115	91	8	11	149	170	37	35	23	19	7	5	10	12
ENSG00000125356.6	NDUFA1	2692	2525	2894	2853	2821	3336	2759	2861	3576	3767	4068	4186	517	600	898	1353
ENSG00000125363.10	AMELX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125375.10	ATP5S	273	236	434	408	166	199	466	371	252	285	287	243	66	72	63	95
ENSG00000125378.10	BMP4	321	241	226	212	88	129	222	198	122	123	172	155	19	22	18	46
ENSG00000125384.6	PTGER2	285	206	409	411	162	155	553	515	126	138	247	296	96	119	57	68
ENSG00000125385.9	RP11-297B17.2	0	0	0	0	0	0	2	0	2	0	2	0	0	0	1	0
ENSG00000125386.10	FAM193A	787	714	1396	1376	652	784	1804	1705	1030	1181	986	1063	288	320	191	348
ENSG00000125388.15	GRK4	81	59	52	53	72	63	81	74	75	63	149	113	16	19	11	18
ENSG00000125398.5	SOX9	32	40	74	77	12	20	81	54	48	54	8	5	3	2	2	2
ENSG00000125409.8	TEKT3	19	20	6	13	23	19	16	18	7	6	33	32	1	1	3	0
ENSG00000125414.13	MYH2	0	0	0	0	1	0	9	4	0	0	0	0	0	0	0	0
ENSG00000125430.4	HS3ST3B1	577	546	1745	1715	733	754	1464	1486	945	1075	606	647	206	257	375	610
ENSG00000125434.6	SLC25A35	227	176	231	254	214	247	260	244	240	275	292	283	90	88	81	128
ENSG00000125445.6	MRPS7	1363	1195	1901	1887	1428	1612	1598	1532	1939	2154	1801	1802	375	478	244	392
ENSG00000125447.12	GGA3	1589	1396	2548	2623	1154	1263	3230	3098	2017	2051	1631	1765	617	664	581	816
ENSG00000125449.2	ARMC7	403	374	632	621	593	772	764	758	734	852	604	589	78	87	60	89
ENSG00000125450.6	NUP85	1424	1178	1599	1741	1270	1386	2161	2082	1754	1923	1923	1958	473	542	387	534
ENSG00000125454.7	SLC25A19	345	317	439	443	242	260	616	646	592	661	608	603	158	209	98	127
ENSG00000125457.9	MIF4GD	963	848	1390	1384	978	1126	1560	1457	1367	1528	1161	1283	286	325	175	238
ENSG00000125458.2	NT5C	943	799	1219	1226	1643	1552	1115	1252	1405	1345	1035	1270	255	321	207	308
ENSG00000125459.9	MSTO1	296	286	369	399	352	378	375	376	406	477	472	537	130	136	56	100
ENSG00000125462.11	C1orf61	29	22	16	21	29	35	44	26	15	9	22	35	28	22	8	22
ENSG00000125482.8	TTF1	336	292	760	696	282	245	847	869	543	506	395	446	97	102	68	111
ENSG00000125484.7	GTF3C4	478	385	954	911	381	369	1162	1154	688	765	678	684	174	211	75	153
ENSG00000125485.13	DDX31	396	367	669	654	387	398	665	611	530	571	447	500	167	155	62	117
ENSG00000125492.5	BARHL1	0	0	1	0	1	0	2	4	0	0	1	0	0	0	0	0
ENSG00000125498.15	KIR2DL1	1	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0
ENSG00000125503.8	PPP1R12C	2516	2437	3961	3873	4467	4516	3636	3874	4002	3607	3313	3695	1713	1855	553	963
ENSG00000125505.12	MBOAT7	1035	952	1155	1194	2208	2270	2123	1955	2336	2328	2119	2457	347	378	192	324
ENSG00000125508.3	SRMS	3	5	4	2	2	1	4	4	3	2	11	12	0	0	0	0
ENSG00000125510.11	OPRL1	154	134	192	183	167	235	316	293	242	258	154	186	31	26	13	20
ENSG00000125514.5	LINC00029	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0
ENSG00000125520.8	SLC2A4RG	1141	1165	1482	1431	1795	1915	1657	1710	1725	1704	1230	1497	345	353	290	447
ENSG00000125522.3	NPBWR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125531.5	C20orf195	15	13	17	8	14	6	24	20	13	11	10	5	2	6	2	4
ENSG00000125533.4	BHLHE23	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000125534.5	PPDPF	2160	2345	2900	2866	4098	4372	3375	3487	2658	2385	2319	2955	615	620	465	753
ENSG00000125538.7	IL1B	558	436	114	122	415	518	684	623	356	391	147	175	68	121	24	28
ENSG00000125551.14	PLGLB2	1	0	2	1	3	1	0	3	1	3	0	0	0	0	1	1
ENSG00000125571.5	IL37	1	1	6	5	6	1	1	5	1	0	2	2	9	6	4	9
ENSG00000125611.11	CHCHD5	490	497	498	518	718	842	479	475	867	761	644	806	111	106	66	104
ENSG00000125618.12	PAX8	127	151	258	286	236	254	100	75	76	55	219	279	45	46	18	25
ENSG00000125629.10	INSIG2	781	726	1117	1048	463	526	1078	1064	857	993	1147	1092	285	407	225	360
ENSG00000125630.11	POLR1B	638	577	1295	1332	371	393	1088	1185	731	810	506	561	155	161	145	200
ENSG00000125631.7	HTR5BP	1	1	0	0	0	2	1	0	0	0	0	4	0	0	0	0
ENSG00000125633.6	CCDC93	922	779	1906	1764	808	870	2321	2177	1259	1300	1586	1676	340	366	258	383
ENSG00000125637.10	PSD4	3570	3118	4408	4709	2178	2353	6570	6320	6444	6488	3355	3642	1282	1454	1302	2059
ENSG00000125648.10	SLC25A23	648	574	713	722	430	459	1131	1029	720	734	471	495	120	96	127	165
ENSG00000125650.4	PSPN	82	53	67	77	73	83	119	95	125	120	149	149	20	15	12	18
ENSG00000125651.9	GTF2F1	1951	1892	2809	2850	2751	2942	3062	3176	3363	3437	2966	3314	457	529	406	614
ENSG00000125652.3	ALKBH7	608	691	610	560	1094	1099	577	613	1035	906	670	828	107	136	57	63
ENSG00000125656.4	CLPP	958	1038	1749	1655	1728	1749	1543	1430	1678	1585	1370	1536	275	318	194	328
ENSG00000125657.3	TNFSF9	56	51	29	31	50	48	54	85	52	64	62	65	29	24	11	19
ENSG00000125675.13	GRIA3	22	11	43	50	36	34	61	55	16	21	18	15	1	0	10	16
ENSG00000125676.14	THOC2	1212	1063	2384	2388	698	743	3055	3057	1550	1614	1425	1475	334	363	350	528
ENSG00000125686.7	MED1	813	693	1745	1720	575	615	2214	2253	1055	1189	910	870	187	232	202	254
ENSG00000125691.8	RPL23	33958	30159	48986	48232	35242	41593	50905	50388	48229	54916	46722	48071	5900	7062	7727	11731
ENSG00000125695.12	RP11-51F16.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125703.10	ATG4C	653	586	762	689	335	313	905	907	553	579	566	627	89	109	94	191
ENSG00000125726.6	CD70	80	70	104	156	129	148	215	196	269	245	319	369	71	88	58	111
ENSG00000125730.12	C3	27105	23431	52860	54844	86820	104057	39158	37548	82490	89126	92295	96380	2690	3039	2273	3381
ENSG00000125731.8	SH2D3A	211	205	331	334	263	232	470	542	328	318	208	215	68	72	57	50
ENSG00000125733.13	TRIP10	1356	1243	1167	1184	1728	1700	1642	1711	2189	2207	2154	2265	439	432	178	279
ENSG00000125734.9	GPR108	1704	1467	1819	1980	1875	2203	2538	2487	2123	2310	2306	2417	437	480	290	480
ENSG00000125735.6	TNFSF14	114	96	263	253	163	156	330	302	258	249	329	336	180	205	82	107
ENSG00000125740.9	FOSB	8798	7913	272	287	723	690	276	338	831	907	8103	8519	367	363	44	78
ENSG00000125741.4	OPA3	627	525	1024	1087	708	723	1169	1136	1159	1265	1005	1002	235	236	119	185
ENSG00000125743.6	SNRPD2	5062	4469	7062	7057	5986	7130	6353	6469	7447	8363	8008	8474	1006	1099	993	1599
ENSG00000125744.7	RTN2	192	177	203	252	370	369	230	178	464	537	410	500	43	39	26	36
ENSG00000125746.10	EML2	874	789	1196	1314	874	904	1905	1924	1787	1730	1134	1263	379	388	235	351
ENSG00000125753.9	VASP	3413	3074	4372	4377	3839	3951	7340	7236	5519	5711	4321	4719	980	1021	924	1394
ENSG00000125755.13	SYMPK	2733	2582	3760	3971	3542	3481	5135	5034	4637	4501	3454	3833	1476	1540	668	1078
ENSG00000125772.8	GPCPD1	1973	1738	3167	3099	1358	1560	3690	3505	1928	2223	1915	1836	900	1025	650	992
ENSG00000125775.10	SDCBP2	85	80	120	131	96	96	92	92	96	105	64	66	9	12	7	6
ENSG00000125779.16	PANK2	653	591	1014	1078	556	632	1276	1310	873	1025	1030	1064	259	368	242	379
ENSG00000125780.11	TGM3	2	0	1	0	1	9	9	7	0	0	1	1	1	0	2	0
ENSG00000125787.7	GNRH2	1	2	1	0	1	3	3	1	0	1	2	2	0	0	0	0
ENSG00000125788.5	DEFB126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125798.9	FOXA2	0	0	0	0	2	3	0	0	0	1	0	0	0	0	0	0
ENSG00000125804.9	FAM182A	0	0	1	1	4	4	4	1	4	3	0	1	0	0	0	0
ENSG00000125810.9	CD93	3715	3163	2202	2225	3193	3762	3920	3612	4313	4737	4167	4155	306	348	273	411
ENSG00000125812.11	GZF1	286	322	461	471	237	263	537	554	366	430	387	391	76	86	64	113
ENSG00000125813.9	PAX1	0	0	21	15	38	47	556	577	1	0	0	0	0	0	0	0
ENSG00000125814.13	NAPB	440	362	513	462	273	290	733	717	382	490	539	516	119	136	111	163
ENSG00000125815.4	CST8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125816.4	NKX2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125817.7	CENPB	2098	1829	2314	2558	3134	3506	2574	2370	3281	3403	2745	3057	471	485	293	497
ENSG00000125818.12	PSMF1	2758	2458	3534	3782	2291	2544	4399	4146	3340	3556	3235	3416	835	892	747	1185
ENSG00000125820.5	NKX2-2	1	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0
ENSG00000125821.7	DTD1	587	468	839	755	517	631	886	914	817	886	780	789	116	182	112	149
ENSG00000125823.8	CSTL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125826.15	RBCK1	2245	2168	3472	3522	2889	3220	3620	3613	3143	3049	3058	3571	1469	1611	876	1309
ENSG00000125827.4	TMX4	1262	1135	2220	2279	1010	1093	3638	3344	1664	1884	1623	1559	193	263	242	425
ENSG00000125831.5	CST11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125834.8	STK35	578	531	1247	1338	530	545	1770	1513	1005	1063	740	758	206	204	173	254
ENSG00000125835.13	SNRPB	3633	3191	5345	5737	4297	4750	5167	4897	5389	5987	3532	3997	840	892	666	1236
ENSG00000125841.7	NRSN2	686	574	622	627	869	1013	588	576	942	996	1008	1030	136	123	98	122
ENSG00000125843.6	AP5S1	252	224	291	304	302	314	325	251	399	436	334	352	82	61	41	76
ENSG00000125844.10	RRBP1	9778	8897	4125	4007	8271	7941	3840	3933	7318	7375	7205	8024	1085	1219	667	1143
ENSG00000125845.6	BMP2	327	261	117	155	56	74	135	157	58	60	46	55	19	22	5	13
ENSG00000125846.11	ZNF133	545	446	556	532	560	639	621	656	620	689	630	740	163	164	116	191
ENSG00000125848.9	FLRT3	15	17	6	9	3	11	354	325	2	2	4	11	1	0	0	1
ENSG00000125850.6	OVOL2	1	0	1	0	0	0	8	11	0	0	0	0	0	0	0	0
ENSG00000125851.5	PCSK2	0	0	0	2	2	1	8	2	0	1	0	0	0	1	0	0
ENSG00000125861.10	GFRA4	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
ENSG00000125863.12	MKKS	962	857	1229	1105	962	1068	1291	1309	1165	1300	1375	1429	251	326	203	280
ENSG00000125864.7	BFSP1	31	20	19	19	25	34	21	17	17	22	17	19	1	6	3	3
ENSG00000125868.10	DSTN	3520	3211	3258	3096	4248	4734	3193	3200	4451	5137	4410	4670	939	1194	430	633
ENSG00000125869.5	LAMP5	1737	1588	299	291	348	422	347	304	626	687	178	190	22	16	4	12
ENSG00000125870.6	SNRPB2	1345	1105	1793	1770	971	1098	1657	1706	1743	1943	1819	1745	345	342	427	583
ENSG00000125871.9	MGME1	684	626	1297	1183	416	452	1475	1525	927	1056	1038	1016	299	395	279	467
ENSG00000125872.7	LRRN4	1	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000125875.9	TBC1D20	1385	1180	1576	1638	1180	1400	2142	2047	1746	1928	1851	1943	328	409	331	481
ENSG00000125877.7	ITPA	837	814	1421	1437	1731	1889	1389	1401	1978	1912	1903	2009	450	509	268	462
ENSG00000125878.4	TCF15	6	5	4	13	20	16	9	6	19	21	37	38	1	4	22	20
ENSG00000125879.4	OTOR	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
ENSG00000125885.9	MCM8	198	191	607	510	104	86	363	388	288	284	286	230	80	97	57	96
ENSG00000125888.10	BANF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125895.5	TMEM74B	172	139	63	60	159	179	57	59	126	124	200	250	54	49	14	36
ENSG00000125898.7	FAM110A	273	282	453	446	415	475	583	661	551	519	482	497	177	165	109	151
ENSG00000125899.6	C20orf187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125900.8	SIRPD	3	5	12	6	2	7	0	5	9	6	4	2	4	1	2	2
ENSG00000125901.5	MRPS26	571	571	857	816	757	912	801	861	948	907	773	818	148	157	166	180
ENSG00000125903.4	DEFB129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125910.4	S1PR4	493	639	1554	1353	1376	1510	1387	1498	1053	867	392	512	138	127	74	119
ENSG00000125912.6	NCLN	1618	1570	1991	2112	2978	3060	1918	1945	2776	2379	2253	2804	763	739	279	455
ENSG00000125931.6	CITED1	1	7	2	5	10	9	7	7	30	55	4	6	1	3	1	2
ENSG00000125944.14	HNRNPR	3205	2941	6274	6184	2262	2560	7015	6920	4673	5111	4002	4205	845	908	788	1300
ENSG00000125945.9	ZNF436	412	346	470	482	269	294	780	751	536	595	646	616	105	111	72	113
ENSG00000125952.14	MAX	2505	2100	3984	4062	2291	2337	4873	4614	3508	3969	3467	3559	777	892	858	1299
ENSG00000125954.7	CHURC1-FNTB	0	0	0	2	1	0	0	0	2	0	0	1	0	0	0	0
ENSG00000125962.10	ARMCX5	247	278	407	439	174	210	519	463	319	372	262	291	49	61	60	96
ENSG00000125965.4	GDF5	6	4	2	5	4	2	10	14	3	6	13	13	0	2	1	2
ENSG00000125966.8	MMP24	13	13	15	12	13	13	21	31	17	18	8	10	0	3	0	1
ENSG00000125967.12	NECAB3	247	235	263	260	276	327	265	312	318	333	233	260	75	76	56	81
ENSG00000125968.7	ID1	260	293	394	350	1054	1038	225	240	356	325	319	425	177	194	19	42
ENSG00000125970.7	RALY	4735	4382	5449	5664	5384	5436	6129	6151	6383	6484	4829	5591	1101	1227	980	1521
ENSG00000125971.12	DYNLRB1	2896	2466	3063	3173	3121	3878	3163	3015	3525	4087	3938	4237	716	841	905	1415
ENSG00000125975.8	C20orf173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000125977.6	EIF2S2	2624	2311	3381	3390	2078	2342	3095	3191	3201	3563	3845	3771	810	932	489	870
ENSG00000125991.14	ERGIC3	6852	6029	5190	5564	6935	8614	6164	5959	7796	8481	8502	9053	914	992	651	1153
ENSG00000125995.11	ROMO1	1088	1015	970	1033	1629	1622	896	899	1618	1488	1157	1422	230	236	181	295
ENSG00000125997.4	BPIFB9P	1	0	1	1	1	0	2	2	5	2	1	1	0	0	1	0
ENSG00000125998.7	FAM83C	0	2	0	0	0	2	2	1	1	1	3	3	0	0	0	0
ENSG00000125999.6	BPIFB1	55	43	0	0	0	2	4	0	1	0	0	1	0	1	0	0
ENSG00000126001.11	CEP250	1102	1039	1954	2228	1140	1382	2422	2290	1728	1816	1271	1365	309	308	294	459
ENSG00000126003.6	PLAGL2	477	441	1699	1815	609	705	1499	1471	944	1058	731	801	270	265	171	229
ENSG00000126005.10	MMP24-AS1	695	603	767	829	1187	1212	975	936	994	1063	1076	1283	207	200	158	297
ENSG00000126010.5	GRPR	0	2	5	1	1	0	6	4	2	1	4	1	1	0	1	1
ENSG00000126012.7	KDM5C	3460	3194	6163	6368	3200	3519	7605	7338	5184	5314	2491	2631	705	783	962	1402
ENSG00000126016.9	AMOT	131	126	186	161	101	108	597	569	146	134	148	158	28	33	18	20
ENSG00000126062.3	TMEM115	1042	932	1182	1265	1594	1739	1219	1147	1566	1648	1456	1671	213	243	157	229
ENSG00000126067.7	PSMB2	2453	2134	3271	3501	2428	2728	3248	3094	3415	3815	3749	3959	864	897	666	1038
ENSG00000126070.14	AGO3	645	561	925	935	414	484	1217	1271	731	863	772	805	155	198	157	222
ENSG00000126088.8	UROD	2190	1846	1674	1874	2208	2636	2031	1919	2631	2855	3114	3272	396	450	338	563
ENSG00000126091.15	ST3GAL3	316	294	339	328	376	408	442	401	401	447	395	383	66	68	40	68
ENSG00000126106.9	TMEM53	190	175	236	226	184	222	192	184	257	284	200	299	58	68	38	63
ENSG00000126107.10	HECTD3	1596	1394	1585	1669	1335	1570	2001	2007	1908	2120	2162	2342	407	468	426	562
ENSG00000126214.16	KLC1	793	832	854	823	1218	1198	976	988	1159	1107	1228	1246	312	326	182	288
ENSG00000126215.9	XRCC3	459	440	649	694	516	478	551	585	580	500	361	468	192	185	78	140
ENSG00000126216.8	TUBGCP3	643	554	1074	1069	396	386	1301	1296	688	720	582	666	183	182	128	223
ENSG00000126217.16	MCF2L	359	382	573	559	564	522	645	606	477	423	332	340	191	207	47	75
ENSG00000126218.7	F10	139	147	91	85	254	239	147	162	140	108	152	184	24	6	4	12
ENSG00000126226.16	PCID2	813	764	1488	1433	531	562	1786	1733	1180	1280	822	849	276	297	200	290
ENSG00000126231.9	PROZ	2	10	11	6	3	3	23	12	10	10	4	6	1	1	0	1
ENSG00000126233.1	SLURP1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000126243.4	LRFN3	144	182	229	240	313	362	295	302	274	265	203	238	42	39	18	18
ENSG00000126246.5	IGFLR1	111	89	130	125	129	97	228	245	198	188	119	146	57	75	42	65
ENSG00000126247.6	CAPNS1	7898	7208	7869	8584	9161	11171	11563	10532	11710	12510	14120	15607	2167	2167	1829	3030
ENSG00000126249.3	PDCD2L	121	99	192	214	102	109	170	162	152	209	100	138	30	41	34	54
ENSG00000126251.5	GPR42	0	0	1	2	5	8	0	1	2	1	1	1	1	1	0	1
ENSG00000126254.7	RBM42	1291	1226	1549	1585	1896	2123	1586	1673	2317	2230	1772	2094	319	362	234	381
ENSG00000126259.14	KIRREL2	47	37	212	192	59	51	117	108	185	180	163	191	34	26	21	35
ENSG00000126261.8	UBA2	2092	1872	3946	3937	1211	1370	4643	4407	3050	3511	2632	2632	493	727	613	925
ENSG00000126262.3	FFAR2	60	41	271	280	659	751	231	237	114	124	92	114	70	64	7	13
ENSG00000126264.5	HCST	1239	1214	1227	1112	1367	1793	1901	2001	1533	1464	2149	2353	388	431	545	902
ENSG00000126266.2	FFAR1	0	0	5	2	4	1	1	1	1	5	1	4	0	1	0	0
ENSG00000126267.4	COX6B1	4293	3903	4740	4713	4961	6622	5199	5046	6813	7431	8030	8351	1130	1226	1346	2010
ENSG00000126337.9	KRT36	9	11	21	22	18	13	62	60	9	13	5	5	1	3	3	8
ENSG00000126351.8	THRA	856	830	761	807	847	948	1219	1113	810	884	820	913	109	116	71	124
ENSG00000126353.3	CCR7	3535	3208	14895	15878	6355	7502	12104	11473	11540	12399	3340	3608	1988	2101	1688	2626
ENSG00000126368.5	NR1D1	162	141	437	472	364	361	453	366	346	309	225	218	40	39	27	43
ENSG00000126391.9	FRMD8	1158	1076	1950	1929	1198	1351	2026	2091	1923	1950	1396	1583	356	390	262	369
ENSG00000126432.9	PRDX5	4672	4283	3288	3410	5515	6337	4126	4093	6184	6332	7495	8219	872	857	664	1042
ENSG00000126453.5	BCL2L12	384	353	515	537	430	496	470	432	595	634	578	619	106	115	77	95
ENSG00000126456.11	IRF3	3276	3270	4054	4230	4260	4564	5239	4909	4691	4595	4628	5199	1768	1788	893	1394
ENSG00000126457.16	PRMT1	3454	3351	3840	4175	3689	4000	4563	4326	5861	5760	3996	4534	899	840	483	695
ENSG00000126458.3	RRAS	1576	1407	1137	1234	2228	2420	1371	1412	2167	2189	2882	3351	680	715	440	644
ENSG00000126460.6	PRRG2	22	21	26	28	30	22	55	45	24	29	24	38	9	4	3	5
ENSG00000126461.10	SCAF1	1131	1102	1812	1724	1794	1780	2097	2031	2147	1972	1282	1666	329	363	192	411
ENSG00000126464.9	PRR12	778	824	1922	1848	917	949	2260	2330	1511	1301	911	1135	340	336	181	298
ENSG00000126467.6	TSKS	54	45	16	14	23	29	15	21	8	16	48	58	6	12	2	1
ENSG00000126500.3	FLRT1	0	5	5	9	5	2	5	11	2	0	4	2	1	0	1	3
ENSG00000126522.12	ASL	416	420	489	466	625	718	410	494	615	595	445	519	108	96	36	59
ENSG00000126524.5	SBDS	1420	1242	1893	1785	948	991	2102	2026	1680	1889	1547	1555	349	418	258	454
ENSG00000126542.10	PTPN20CP	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000126545.9	CSN1S1	2	3	200	215	11	13	1	7	40	46	46	46	1	0	0	0
ENSG00000126549.5	STATH	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0
ENSG00000126550.4	HTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126561.12	STAT5A	2679	2371	5667	6057	3950	4546	6785	6455	6139	6547	6756	7109	1910	2042	1047	1603
ENSG00000126562.12	WNK4	2	0	10	10	4	11	4	4	6	6	11	9	1	1	0	3
ENSG00000126581.8	BECN1	1007	851	1873	1829	500	539	2333	2324	1337	1394	934	973	245	269	160	294
ENSG00000126583.6	PRKCG	32	38	7	3	9	8	10	6	7	6	4	8	1	1	2	0
ENSG00000126602.6	TRAP1	970	879	1556	1698	1077	1101	1909	1769	1857	1883	934	929	359	376	220	383
ENSG00000126603.4	GLIS2	563	526	473	445	1289	1480	416	368	2209	2033	985	1216	62	63	23	27
ENSG00000126653.11	NSRP1	584	538	1150	1234	527	521	1180	1198	735	830	813	801	202	274	170	276
ENSG00000126698.6	DNAJC8	2842	2516	3853	3813	2229	2571	4042	3929	3821	4223	3756	3604	585	672	525	888
ENSG00000126705.8	AHDC1	577	639	695	651	599	631	890	1001	790	711	457	498	121	129	77	108
ENSG00000126709.10	IFI6	1897	1741	3676	3336	2408	2749	946	1084	926	1030	2247	2455	671	803	479	693
ENSG00000126733.15	DACH2	0	1	1	0	0	0	1	5	0	0	0	0	0	0	0	0
ENSG00000126746.13	ZNF384	1249	1089	2116	2002	844	943	2840	2633	1652	1735	1308	1393	411	468	352	613
ENSG00000126749.9	EMG1	50	43	69	94	52	60	89	85	67	88	82	69	12	4	20	25
ENSG00000126752.7	SSX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000126756.7	UXT	2175	1938	3025	2880	2413	3064	3212	3246	3417	3785	3313	3346	451	499	413	596
ENSG00000126759.8	CFP	1455	1429	1264	1392	1818	2075	1917	1760	1773	1664	1788	2071	364	373	351	535
ENSG00000126767.13	ELK1	730	646	1567	1569	850	844	1511	1494	1438	1543	1369	1425	281	341	272	450
ENSG00000126768.7	TIMM17B	1280	1102	1229	1454	1441	1673	1343	1208	1701	1651	1189	1294	275	277	244	379
ENSG00000126773.8	PCNXL4	702	660	1078	1045	402	416	1741	1785	879	1031	778	838	202	237	173	260
ENSG00000126775.8	ATG14	608	551	1038	1034	551	639	1336	1341	691	791	772	784	174	190	173	268
ENSG00000126777.13	KTN1	3092	2836	5345	5103	1853	2077	7181	7241	4282	5002	5715	5643	560	712	649	926
ENSG00000126778.7	SIX1	78	77	46	69	106	96	394	390	188	221	193	225	15	18	16	27
ENSG00000126785.8	RHOJ	1187	965	368	342	325	412	413	402	628	661	830	772	111	173	41	72
ENSG00000126787.8	DLGAP5	232	203	913	830	163	166	298	305	326	398	475	515	73	89	76	110
ENSG00000126790.7	L3HYPDH	344	340	669	641	288	252	438	423	238	308	324	375	71	80	60	88
ENSG00000126803.8	HSPA2	152	136	268	277	129	121	160	212	175	170	194	217	57	52	19	30
ENSG00000126804.9	ZBTB1	1353	1164	2571	2513	760	749	4220	4107	1670	2040	1448	1571	506	627	506	748
ENSG00000126814.6	TRMT5	311	300	481	407	320	360	506	529	466	530	591	545	100	134	104	142
ENSG00000126821.7	SGPP1	788	668	1256	1133	462	471	1650	1714	1046	1133	1268	1207	303	373	501	699
ENSG00000126822.11	PLEKHG3	418	366	430	486	495	491	860	812	423	360	771	759	336	358	127	188
ENSG00000126838.5	PZP	16	14	4	7	10	10	15	10	4	9	9	6	0	1	2	4
ENSG00000126856.9	PRDM7	1	0	3	1	2	0	1	0	2	1	2	0	2	0	0	0
ENSG00000126858.12	RHOT1	732	669	1050	1094	378	445	1500	1444	828	917	850	948	211	207	250	362
ENSG00000126860.7	EVI2A	1195	990	2253	2235	800	841	3945	3971	1956	2137	1614	1513	302	408	661	1068
ENSG00000126861.4	OMG	81	79	36	27	9	16	110	94	25	22	61	76	13	10	15	19
ENSG00000126870.11	WDR60	309	302	451	438	306	265	421	459	358	374	327	393	89	109	58	91
ENSG00000126878.8	AIF1L	320	291	219	214	251	280	523	506	104	165	208	221	38	39	32	64
ENSG00000126882.8	FAM78A	1638	1411	4106	4519	2498	2576	4273	4183	2783	2921	2044	2182	609	708	596	1001
ENSG00000126883.12	NUP214	1365	1256	2363	2528	1369	1653	2991	2803	1827	2029	1725	1824	382	405	361	471
ENSG00000126890.13	CTAG2	0	0	103	105	171	197	0	1	0	0	20	21	0	0	4	8
ENSG00000126895.9	AVPR2	51	80	29	35	39	73	44	62	36	49	41	59	13	13	3	9
ENSG00000126903.11	SLC10A3	534	578	736	752	632	741	822	863	979	918	634	742	147	121	76	114
ENSG00000126934.9	MAP2K2	2423	2442	3341	3102	3894	3941	2912	3089	4091	3717	2672	3210	832	933	393	670
ENSG00000126945.8	HNRNPH2	2072	1871	3307	3153	1579	1771	4198	4165	2905	3529	2766	2710	517	654	672	972
ENSG00000126947.7	ARMCX1	285	281	270	250	229	244	339	306	272	316	422	424	36	39	40	53
ENSG00000126950.7	TMEM35	8	12	3	4	8	6	18	23	8	2	4	11	8	4	0	0
ENSG00000126952.12	NXF5	2	1	2	3	1	0	0	1	0	3	0	0	0	0	0	0
ENSG00000126953.5	TIMM8A	94	93	221	224	129	145	223	270	202	233	200	185	50	71	28	41
ENSG00000126970.11	ZC4H2	201	175	312	297	134	147	481	443	225	211	230	233	33	44	72	104
ENSG00000127022.10	CANX	12281	11159	15128	14929	8471	9948	18504	18590	14913	16567	16249	16307	2854	3268	2153	3156
ENSG00000127054.14	CPSF3L	2299	2105	2854	2767	2893	3102	3151	3228	3462	3052	2270	2676	802	843	433	631
ENSG00000127074.10	RGS13	150	155	38	34	17	11	69	64	94	73	16	11	2	1	3	3
ENSG00000127080.5	IPPK	40	33	120	105	23	15	126	142	62	81	34	37	17	21	10	14
